ID,Vendor,Country,Shipment Mode,Weight (Kilograms),Freight Cost (USD),Line Item Value,Line Item Quantity,Unit Price,Scheduled Delivery Date,Delivered to Client Date,delay_days,is_delayed,delay_probability,risk_category
15738,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Vietnam,Air,40.0,642.45,9304.0,400,0.78,2015-07-15 00:00:00,2015-07-15 00:00:00,0,0,0.002,LOW
15751,"Orgenics, Ltd","Congo, DRC",Air,1047.0,,18240.0,228,0.8,2015-07-23 00:00:00,2015-07-23 00:00:00,0,0,0.02,LOW
15772,Aurobindo Pharma Limited,Vietnam,Air,10210.0,17392.05,313500.0,30000,0.17,2012-03-01 00:00:00,2012-03-01 00:00:00,0,0,0.143,LOW
15778,"Orgenics, Ltd",Tanzania,Air,91.0,2082.39,17440.0,218,0.8,2013-04-10 00:00:00,2013-04-10 00:00:00,0,0,0.009,LOW
15788,"Orgenics, Ltd",South Sudan,Air,1047.0,,225.0,45,5.0,2015-07-02 00:00:00,2015-07-02 00:00:00,0,0,0.156,LOW
15795,PHARMACY DIRECT,South Africa,Truck,1047.0,,216.37,12,0.3,2014-11-28 00:00:00,2014-11-28 00:00:00,0,0,0.0,LOW
15804,"Orgenics, Ltd",Mali,Air,9.0,779.06,1900.0,20,3.8,2013-07-03 00:00:00,2013-07-03 00:00:00,0,0,0.036,LOW
15813,HETERO LABS LIMITED,Mozambique,Air,3138.0,16537.12,186854.4,23040,0.14,2014-05-02 00:00:00,2014-05-02 00:00:00,0,0,0.009,LOW
15815,S. BUYS WHOLESALER,South Africa,Truck,1047.0,,3914.05,2200,0.01,2009-10-19 00:00:00,2009-10-19 00:00:00,0,0,0.258,LOW
15825,"Trinity Biotech, Plc",Tanzania,Air,1047.0,,12800.0,400,1.6,2015-08-24 00:00:00,2015-08-24 00:00:00,0,0,0.001,LOW
15867,Aurobindo Pharma Limited,Rwanda,Air,4027.0,28833.91,220880.1,41286,0.18,2012-01-24 00:00:00,2012-01-26 00:00:00,2,1,0.477,MEDIUM
15879,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Rwanda,Ocean,10329.0,32530.22,997551.5,117359,0.28,2011-04-27 00:00:00,2011-04-27 00:00:00,0,0,0.056,LOW
